Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
87,Internet-based Behavioral Pain Management,Recruiting,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: behavioral pain self-management intervention Pain EASE,U.S. Fed,Interventional,2014-07-01,"VA Connecticut Healthcare System West Haven Campus, West Haven, CT, West Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT01918189
88,Tracking Outcomes in Pain Patients Using Fitness Devices,Completed,No Results Available,Chronic Pain|Back Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Epidural injection|Drug: Epidural steroid injection as determined by routine care provider,Other,Observational,2015-03-01,"UNC Chapel Hill, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT02420457
89,Brain Imaging of Lidoderm for Chronic Back Pain,Completed,Has Results,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: lidocaine|Drug: placebo,Other|Industry,Interventional,2004-01-01,"Northwestern University, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT01515540
90,Nature as a Buffer Among People With Chronic Pain,"Active, not recruiting",No Results Available,Chronic Pain,Nervous System Diseases,Other: Natural Environment|Other: Built Environment,Other,Interventional,2016-07-01,"Cornell University, Ithaca, New York, United States",https://ClinicalTrials.gov/show/NCT03153891
91,Effect of LASER Photobiomodulation Therapy on Chronic Pain and Opioid Weaning,Not yet recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Device: LightForce EXPi,Industry,Interventional,2018-03-01,"Sharp Alison DeRose Rehabilitation Center, San Diego, California, United States",https://ClinicalTrials.gov/show/NCT03437967
92,Efficacy of Foot Orthotics in Veterans With Chronic Lower Back Pain,Terminated,No Results Available,Back Pain Lower Back Chronic,"Muscle, Bone, and Cartilage Diseases",Device: Custom Foot Orthotic|Device: Sham Orthotic,U.S. Fed|Industry|Other,Interventional,2013-05-01,"Rochester Outpatient Clinic (ROPC) of the Canandaigua VA Medical Center, Rochester, New York, United States",https://ClinicalTrials.gov/show/NCT01865539
93,Comparison of Extensible and Inextensible Lumbosacral Orthoses for Lower Back Pain,Completed,Has Results,Low Back Pain,"Muscle, Bone, and Cartilage Diseases","Other: Inextensible LSO (stiff back support)|Other: Extensible LSO, a back support that is flexible|Other: Standard of Care",Other,Interventional,2007-09-01,"Medical University of South Carolina, Charleston, South Carolina, United States",https://ClinicalTrials.gov/show/NCT01933399
94,Study on Magnetic Field Therapy to Improve Chronic Lumbar Pain,Unknown status,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Device: Magnetic Flex Pad,Other,Interventional,2007-02-01,"Michael I. Weintraub, MD, Briarcliff Manor, New York, United States",https://ClinicalTrials.gov/show/NCT00444990
95,Randomized Controlled Trial of Chiropractic Manipulation Versus Medical Therapy for Chronic Neck Pain,Completed,No Results Available,Neck Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Chiropractic manipulation|Drug: acetaminophen,Other,Interventional,1994-09-01,"University of Colorado Health Sciences Center, Denver, Colorado, United States",https://ClinicalTrials.gov/show/NCT00429624
97,Cognitive Behavioral Therapy and Chronic Pain Self-Management Within the Context of Opioid Reduction,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Cognitive Behavioral Therapy|Behavioral: Chronic Pain Self Management Program|Other: Usual Care,Other,Interventional,2018-07-24,"Stanford University, Palo Alto, California, United States",https://ClinicalTrials.gov/show/NCT03445988
98,Transcranial Alternating Current Stimulation in Back Pain- Pilot Sudy,Completed,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Device: XCSITE100 Stimulator Sham|Device: XCSITE100 Stimulator tACS,Other|NIH,Interventional,2017-09-07,"University of North Carolina Chapel Hill, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03243084
99,Improving the Management of Chronic Pain in Primary Care,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Photo-elicitation and online group support,Other,Interventional,2016-07-01,"University of Missouri, Dept. of Family and Community Medicine, Columbia, Missouri, United States",https://ClinicalTrials.gov/show/NCT02783365
100,Type of Exercise and Education in Patients With SubAcromial Pain Syndrome,Recruiting,No Results Available,Shoulder Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Eccentric Strengthening|Procedure: Traditional Strengthening|Behavioral: Pain education,U.S. Fed,Interventional,2017-04-01,"Brooke Army Medical Center, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT03127839
101,Measuring the Context of Healing in Chronic Pain Treatment,Completed,Has Results,Chronic Pain,Nervous System Diseases,,Other,Observational,2015-02-01,"University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT02873429
102,Tracking Physical Activity for Chronic Pain Management Among Older Adults in Detroit,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: STEPS Intervention,Other,Interventional,2017-11-16,"University of Michigan, Ann Arbor, Michigan, United States",https://ClinicalTrials.gov/show/NCT03285958
103,Spinal Cord Stimulation for Chronic and Intractable Back Pain,Terminated,No Results Available,Back Pain,"Muscle, Bone, and Cartilage Diseases",Device: Precision Spinal Cord Stimulation System,Industry,Interventional,2006-02-01,"Huntley Pain Specialists, San Diego, California, United States",https://ClinicalTrials.gov/show/NCT00370695
105,rTMS for the Treatment of Chronic Pain in GW1 Veterans,Terminated,Has Results,Chronic Pain,Nervous System Diseases,Device: rTMS|Device: Sham device,U.S. Fed,Interventional,2012-09-01,"VA Palo Alto Health Care System, Palo Alto, CA, Palo Alto, California, United States",https://ClinicalTrials.gov/show/NCT01608321
106,Prediction of Persistent Post-Mastectomy Pain,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,,Other,Observational,2014-10-01,"Brigham and Women's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT02329574
107,A Pilot Trial of Intravenous (IV) Pamidronate for Low Back Pain,Unknown status,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: pamidronate,Other|NIH,Interventional,2003-09-01,"The Mount Sinai Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT00101790
108,Structural Integration for Chronic Low Back Pain,Completed,No Results Available,Back Pain Lower Back Chronic,"Muscle, Bone, and Cartilage Diseases",Procedure: Structural Integration|Procedure: Usual care,Other|NIH,Interventional,2010-12-01,"Spaulding Rehabilitation Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01322399
109,Study on the Effects of Intravenous Dexmedetomidine on Pain in Patients Undergoing Elective Spinal Surgery,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Drug: Dexmedetomidine|Other: Placebo Saline,Other,Interventional,2016-09-14,"New York University School of Medicine, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03325972
110,A Pilot Trial of IV Pamidronate for Low Back Pain,Completed,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Pamidronate,Other,Interventional,2004-04-01,"Mount Sinai Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT01210599
111,Pilot Testing of a Behavioral Intervention for Chronic Pain in Individuals With HIV,"Active, not recruiting",No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Behavioral intervention for chronic pain in HIV,Other,Interventional,2016-07-01,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT02824562
112,Efficacy of Tailored Cognitive-Behavioral Therapy for Chronic Back Pain,Completed,No Results Available,Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: tailored cognitive behavior therapy|Behavioral: standard care,U.S. Fed,Interventional,2004-01-01,"VA Connecticut Health Care System (West Haven), West Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT00108381
113,Efficacy of Botulinum Toxin Versus Lidocaine in Treating Masticatory Myofascial Face Pain Using Ultrasound and EMG Guided Techniques,Terminated,Has Results,Face Pain,Mouth and Tooth Diseases,Drug: lidocaine|Drug: chemodenervation,Other,Interventional,2009-10-01,"Westwood Associates, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT00992108
114,Botulinum Toxin A for the Treatment of Chronic Lumbar Back Pain,Unknown status,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Botulinum Toxin A / Placebo|Drug: Botulinum Toxin A / Botulinum Toxin A|Drug: Placebo / Botulinum Toxin A|Drug: Placebo / Placebo,U.S. Fed,Interventional,2007-03-01,"Walter Reed Army Medical Center, Washington, District of Columbia, United States",https://ClinicalTrials.gov/show/NCT00404417
115,Behavioral Interventions for Active Duty Service Members and Veterans With Chronic Pain,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Mindfulness-Oriented Recovery Enhancement (MORE)|Behavioral: Support Group,Other|U.S. Fed,Interventional,2017-04-01,"George Wahlen VA Hospital, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT02935621
116,Immunologic Response to Negative Cognition in Persons With Chronic Pain,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: In-vivo pain catastrophizing induction,Other,Interventional,2007-02-01,"OCTRI; OHSU Mail Code: CHH 13th floor 3303 Bond St., Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT00677911
117,Placebo In Chronic Back Pain (Phase 2),Recruiting,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Naproxen|Drug: Omeprazole|Drug: Placebo,Other|NIH,Interventional,2016-08-01,"Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT02986334
118,PainTracker Self-Manager: a Web-based Platform to Promote and Track Chronic Pain Self-management,"Active, not recruiting",No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: PainTracker Self-Manager,Other,Interventional,2016-04-01,"University of Washington Center for Pain Relief, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT03045081
119,Integrated Chiropractic and Acupuncture Treatment for Low Back Pain,Completed,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: Chiropractic|Other: Acupuncture,Other,Interventional,2011-02-01,"Southern California University of Health Sciences, Whittier, California, United States",https://ClinicalTrials.gov/show/NCT01357343
120,Clinical Trial of the Senza™ SCS System in the Treatment of Chronic Upper Limb and Neck Pain,"Active, not recruiting",No Results Available,Neck Pain|Chronic Pain,Nervous System Diseases,Device: Senza,Industry,Interventional,2015-06-01,"Nevro Corp., Redwood City, California, United States",https://ClinicalTrials.gov/show/NCT02385201
121,Low-Cost Tool for Compliance and Treatment-Tracking of Low Back Pain Patients,Not yet recruiting,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Device: Intervention Technology|Device: Intervention Technology Plus Coaching,Other,Interventional,2018-08-01,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03478007
122,"Comparison of 1000 Hertz (Hz), Burst, and Standard Spinal Cord Stimulation in Chronic Pain Relief",Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Device: Spinal cord stimulator,Other,Interventional,2016-09-01,"Jason Hong, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT02902796
123,IMproving Pain Using Peer RE-inforced Self-management Skills,Completed,Has Results,Chronic Pain,Nervous System Diseases,Behavioral: Peer-Delivered Pain Self-Management,U.S. Fed,Interventional,2013-01-01,"Richard L. Roudebush VA Medical Center, Indianapolis, IN, Indianapolis, Indiana, United States",https://ClinicalTrials.gov/show/NCT01748227
124,Lidocaine Infusion for Chronic Pain in Opioid Dependent Patients,"Active, not recruiting",No Results Available,Chronic Pain,Nervous System Diseases,Drug: Lidocaine infusion|Drug: Saline infusion,Other,Interventional,2014-12-01,"University of Texas Southwestern Medical Center, Dallas, Texas, United States|Parkland Health Hospital System, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT02219321
125,Epidural Clonidine Versus Corticosteroid for Low Back Pain,Terminated,No Results Available,Back Pain,"Muscle, Bone, and Cartilage Diseases",Drug: Epidural steroid|Drug: Clonidine,Other,Interventional,2014-09-01,"West Virginia University Hospitals, Morgantown, West Virginia, United States",https://ClinicalTrials.gov/show/NCT02239627
126,Postural Training Device (UPRIGHT) for Back Pain,Not yet recruiting,No Results Available,"Back Pain Without Radiation|Back Pain, Low","Muscle, Bone, and Cartilage Diseases",Device: UPRIGHT|Other: physical therapy,Other,Interventional,2018-05-01,"Vanderbilt University Medical Center, Nashville, Tennessee, United States",https://ClinicalTrials.gov/show/NCT03449160
127,Mechanisms of Psychosocial Chronic Pain Treatments,Recruiting,No Results Available,Chronic Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: cognitive therapy|Behavioral: mindfulness training|Behavioral: behavioral therapy|Other: treatment as usual,Other,Interventional,2014-06-01,"Rush University Medical Center, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT02133976
128,Study of Cells From Spinal Cavity of Patients With Low Back Pain,Withdrawn,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",,Other,Observational,2010-03-01,"Texas Tech University Health Sciences Center, Lubbock, Texas, United States",https://ClinicalTrials.gov/show/NCT01089491
129,Development of a Couple-based Mindfulness Intervention for Chronic Pain,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Mindfulness and Acceptance Therapy|Behavioral: Health Education,Other|NIH,Interventional,2014-12-01,"Wayne State University, Detroit, Michigan, United States",https://ClinicalTrials.gov/show/NCT02316288
