Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
440,NCT02509312,Prospective Effect of Intravenous Ketorolac on Opioid Use and Complications Following Cesarean Delivery,,"Active, not recruiting",No Results Available,"Analgesia, Obstetrical",Drug: Ketorolac|Drug: Epidural Morphine|Drug: Hydromorphone,"Opioid use|Estimated blood loss (EBL)/Post-operative hemoglobin|Anti-emetic use|Blood pressure|Post-partum Hemorrhage (PPH)|PPH EBL|PPH treatment drugs|Post-partum reoperation|Pain score|Need for opioid side-effect reducing drugs including Diphenhydramine, Nalbuphine and Naloxone.",University Hospitals Cleveland Medical Center,Female,18 Years to 50 Years   (Adult),Phase 4,69,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Ketorolac-1,2016-05-01,2017-12-01,2018-08-01,2015-07-28,null,2018-05-07,"University Hospitals Case Medical Center, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT02509312
441,NCT00907192,Self Reported Deviations From Opioid Analgesic Prescription,,Completed,No Results Available,Advanced Cancers,Behavioral: Personal Interview|Behavioral: Questionnaire,Number of Persons with Advanced Cancer who Self-report Opioid Analgesics Over/Under,M.D. Anderson Cancer Center,All,"18 Years and older   (Adult, Older Adult)",,201,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,2009-0019,2009-05-01,2012-06-01,2012-06-01,2009-05-22,null,2013-06-18,"UT MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00907192
442,NCT02009722,Intrathecal Opioids for Pain Control After Cesarean Delivery: Determining the Optimal Dose,,Completed,Has Results,"Analgesia, Obstetrical|Cesarean Section",Drug: Morphine|Drug: Hydromorphone,Dose of IT Morphine and IT Hydromorphone for Adequate Analgesia (Pain Score Less Than or Equal to 3) in 90% of Patients|Side Effects: Pruritus|Side Effects: Nausea|Side Effects: Sedation|Pruritus|Nausea|Treatment for Nausea|Treatment for Pruritus,Mayo Clinic,Female,"18 Years and older   (Adult, Older Adult)",Phase 4,84,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",13-008490,2014-01-01,2014-12-01,2015-04-01,2013-12-12,2016-05-20,2016-07-25,"Rochester Methodist Hospital, Mayo Clinic, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT02009722
443,NCT00672438,Heritability of Opioid Effects: A Twin Study,,Completed,Has Results,Pain,Drug: Alfentanil|Other: Saline placebo infusion,Heat Pain Threshold|Cold Pain Threshold|Cold Pain Tolerance|Respiratory Rate|Transcutaneous Partial Pressure of Carbon Dioxide|Sedation|Average Nausea|Maximum Nausea|Average Pruritis|Maximum Pruritis|Average Drug Liking|Maximum Drug Liking|Maximum Drug Disliking|Sedation by Patient Report,Martin Angst|SRI International|Stanford University,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,242,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)",SU-04212008-1119|13018,2008-05-01,2010-06-01,2010-06-01,2008-05-06,2016-07-21,2017-01-06,"Stanford University School of Medicine, Stanford, California, United States",,https://ClinicalTrials.gov/show/NCT00672438
444,NCT01380197,Choosing Opioid Management for Pain and Analyzing Acute Chest Syndrome (ACS) Rates Equally,COMPARE,Completed,Has Results,Pain|Sickle Cell Disease,Drug: Morphine|Drug: Nubain,Acute Chest Syndrome|Number of Participants Who Experienced Pain Relief,Children's Healthcare of Atlanta|Atlanta Clinical and Translational Science Institute,All,"6 Years to 19 Years   (Child, Adult)",Phase 3,40,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",09-076,2010-05-26,2014-01-14,2016-10-18,2011-06-27,2015-02-16,2018-02-20,"Children's Healthcare of Atlanta, Atlanta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT01380197
445,NCT00000244,Effects of Dynorphin 1-13 on Heroin Addiction - 1,,Completed,No Results Available,Opioid-Related Disorders|Substance Withdrawal Syndrome,Drug: Dynorphin 1 - 13,Craving scale,University of Minnesota - Clinical and Translational Science Institute|National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),Phase 2,0,Other|NIH,Interventional,Masking: Double|Primary Purpose: Treatment,NIDA-08067-1|R01DA008067|R01-08067-1,1994-08-01,1997-03-01,1997-03-01,1999-09-21,null,2015-05-27,"U of Minnesota School of Medicine, Minneapolis, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT00000244
446,NCT01546948,Intraoperative Opioids and Postoperative Recovery After Hepatobiliary or Foregut Surgery,,"Active, not recruiting",No Results Available,Postoperative Pain,Drug: Methadone|Drug: Hydromorphone,Postoperative pain medication used (hydromorphone)|Postoperative pain scores|The presence or absence of nausea and vomiting|Level of sedation,NorthShore University HealthSystem Research Institute,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,60,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",EH11-232,2011-08-01,2019-12-01,2019-12-01,2012-03-07,null,2018-05-30,"NorthShore University HealthSystem, Evanston, Illinois, United States",,https://ClinicalTrials.gov/show/NCT01546948
447,NCT02735629,Antagonism of Opioid-Induced Respiratory Depression by CX1739 With Preservation of Opioid Analgesia,,Unknown status,No Results Available,Opiate Induced Respiratory Depression,Drug: CX1739 - 300 mg|Drug: CX1739 - 600 mg|Drug: CX1739 - 900 mg|Drug: Placebo,Respiratory depression|Pain tolerance threshold|Maintenance of sedation|The number of patients that experience an adverse drug reaction upon ingestion of CX1739 when used alone or in conjunction with remifentanil|Change in pupil size,RespireRx|Duke University,Male,18 Years to 50 Years   (Adult),Phase 2,18,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",CRTX-05,2016-03-01,2016-08-01,2016-09-01,2016-04-13,null,2016-07-28,"Duke Clinical Research Unit, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT02735629
448,NCT03298269,Behavioral Interventions for Chronic Pain and Opioid-Related Problems,,Recruiting,No Results Available,Chronic Pain,Behavioral: Mindfulness-Oriented Recovery Enhancement|Behavioral: Supportive Counseling,Change in pain symptoms|Change in aberrant drug-related behaviors|Change in emotional distress|Change in opioid dose|Change in opioid craving|Change in interoceptive awareness|Change in reappraisal|Change in savoring|Change in meditative experiences|Change in body sensations,University of Utah,All,"18 Years to 100 Years   (Adult, Older Adult)",Not Applicable,150,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,1618,2017-09-26,2021-08-01,2021-08-01,2017-10-02,null,2017-10-02,"College of Social Work, Salt Lake City, Utah, United States",,https://ClinicalTrials.gov/show/NCT03298269
449,NCT03271151,Effect of Duloxetine on Opioid Use After Total Knee Arthroplasty,,Enrolling by invitation,No Results Available,"Joint Disease|Pain, Acute|Pain, Chronic",Drug: Cymbalta|Other: Placebo,Opioid Use|Pain Scores|Pain Phenotype,"Hospital for Special Surgery, New York",All,"25 Years to 75 Years   (Adult, Older Adult)",Phase 4,175,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",2017-0655,2017-09-28,2018-12-01,2019-12-01,2017-09-01,null,2017-10-18,"Hospital for Special Surgery, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03271151
450,NCT03545893,Overnight Pain Treatment Investigating Opioids vs. Nonopioids,OPTION,Recruiting,No Results Available,Abortion Second Trimester,Drug: Ibuprofen 600 mg|Drug: OxyCODONE 5 Mg Oral Tablet,Maximum pain score,University of Pennsylvania,Female,"18 Years and older   (Adult, Older Adult)",Phase 4,70,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,829723,2018-06-19,2019-02-01,2019-02-01,2018-06-04,null,2018-08-01,"Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03545893
451,NCT02543944,Improving Treatment Outcomes for Prescription Opioid Dependence,GBN,Recruiting,No Results Available,Drug Dependence,Drug: Gabapentin|Drug: Buprenorphine|Drug: Clonidine|Drug: Naltrexone (oral)|Drug: Naltrexone (depot)|Drug: Placebo,Changes in Illicit Opioid-positive Urine samples over time,University of Arkansas|National Institute on Drug Abuse (NIDA),All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2|Phase 3,200,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",203970|R01DA039088,2016-02-01,2020-06-01,2020-06-01,2015-09-07,null,2018-04-04,"University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States",,https://ClinicalTrials.gov/show/NCT02543944
452,NCT03592459,Rectal Administration of Opioids Using the Macy Catheter in Reducing Pain in Participants With Advanced Cancer,,Recruiting,No Results Available,Advanced Malignant Neoplasm|Pain,Device: Macy Catheter|Procedure: Pain Therapy|Other: Questionnaire Administration|Other: Survey Administration,Feasibility of using the device 'Macy catheter' for rectal administration of opioids for comfort in cancer patients on palliative care|Episodes of confusion (delirium) assessed by primary caregiver survey|Hospice nurse experience assessed by survey,M.D. Anderson Cancer Center|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,30,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,2018-0321|NCI-2018-01344|P30CA016672,2018-08-08,2019-12-31,2020-12-31,2018-07-19,null,2018-08-09,"M D Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03592459
453,NCT03437967,Effect of LASER Photobiomodulation Therapy on Chronic Pain and Opioid Weaning,,Not yet recruiting,No Results Available,Chronic Pain,Device: LightForce EXPi,Compliance with Medical Opioid Use Reduction Protocol|Self-reported measure of Pain.|Self-reported measure of Quality of Life.|Self-reported measure of Depression.|Self-reported measure of Anxiety.|Self-reported measure of Sleep Quality.|Urine screening,LiteCure LLC,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,48,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",PBMT for Chronic Pain,2018-03-01,2018-11-01,2019-03-01,2018-02-19,null,2018-02-19,"Sharp Alison DeRose Rehabilitation Center, San Diego, California, United States",,https://ClinicalTrials.gov/show/NCT03437967
454,NCT02824276,Sensory Effects of Oral Opioid Treatment in Patients With Chronic Low Back Pain,,Recruiting,No Results Available,Low Back Pain,Drug: Oxycodone or morphine sulfate immediate release (MSIR)|Drug: Placebo Treatment,Changes in Pain Sensitivity (Quantitative Sensory Testing),Brigham and Women's Hospital|National Institute on Drug Abuse (NIDA),All,"25 Years to 65 Years   (Adult, Older Adult)",Phase 1,100,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",2016P000725,2017-01-06,2019-09-30,2019-09-30,2016-07-06,null,2017-07-06,"Brigham and Women's Hospital, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT02824276
455,NCT01875848,Buprenorphine vs. Opioid Dose Escalation Among Patients With Chronic Pain,Bup,Terminated,Has Results,Pain,Drug: buprenorphine/naloxone|Drug: opioid dose escalation,Change in Numeric Rating Scale of Pain Severity|Patient Global Impression of Change (PGIC),VA Office of Research and Development,All,"18 Years and older   (Adult, Older Adult)",Phase 4,7,U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PPO 13-184,2013-12-01,2015-06-01,2015-06-01,2013-06-12,2016-12-21,2016-12-21,"VA Connecticut Healthcare System West Haven Campus, West Haven, CT, West Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT01875848
456,NCT03579446,Levorphanol as A Second Line Opioid in Reducing Pain in Participants With Cancer,,Not yet recruiting,No Results Available,Malignant Neoplasm|Metastatic Malignant Neoplasm|Pain,Drug: Levorphanol|Other: Questionnaire Administration,Proportion of successful opioid rotation (OR) from morphine equivalent daily dose (MEDD) to levorphanol|Opioid rotation ratio (ORR)|Change of Exercise Self-Efficacy Scale (ESES) pain score|Incidence of levorphanol related side effects|Personalized pain goal (PPG),M.D. Anderson Cancer Center|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,86,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,2017-0925|NCI-2018-01139|P30CA016672,2018-09-07,2019-03-07,2019-03-07,2018-07-06,null,2018-07-09,"M D Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03579446
457,NCT03544112,Emergency Department Connection to Care With Buprenorphine for Opioid Use Disorder,ED-CONNECT,Recruiting,No Results Available,Opioid-use Disorder,Behavioral: Employ a multifaceted approach to facilitate clinical protocol implementation|Drug: Initiate BUP (SL-BUP or XR-BUP) in the ED,Receipt of ED-initiated BUP (binary) and will be abstracted from the health record.|Proportion of patients who received ED-initiated BUP who are engaged in formal addiction treatment 30 days after the index ED visit.,New York University School of Medicine|National Institute on Drug Abuse (NIDA),All,"18 Years and older   (Adult, Older Adult)",,390,Other|NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,17-01513,2018-06-11,2019-02-01,2019-05-01,2018-06-01,null,2018-07-12,"Valley Regional Healthcare, Claremont, New Hampshire, United States|Catholic Medical Center, Manchester, New Hampshire, United States|Bellevue Hospital Center, New York, New York, United States|New York University School of Medicine, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03544112
458,NCT01605539,Acute and Short-term Effects of Cannabidiol Admin on Cue-induced Craving in Drug-abstinent Heroin Dependent Humans,,Completed,Has Results,Opiate Addiction,Drug: Cannabidiol 400|Drug: Cannabidiol 800|Drug: Control,Changes in Cue-Induced In-Clinic Craving (From Baseline to Post-cue or Post-neutral - Via the Visual Analog Scale for Craving (VASC)|Changes in Out-of-Clinic Craving (From Pre-Dose to Approximately 6 Hours Post-Dose for Test Visits I and II; and From Pre-Dose Test Visit I to Pre-Cue Test Visit IV) - Via the Heroin Craving Questionnaire (HCQ)|Vital Signs - Blood Pressure|Visual Analog Scale for Anxiety (VASA)|The Positive and Negative Affect Schedule (PANAS) - Positive Affect Schedule (PAS) Data|The Positive and Negative Affect Schedule (PANAS) - Negative Affect Schedule (NAS) Data|Vital Signs - Heart Rate|Vital Signs - Respiratory Rate|Vital Signs - Temperature,"Hurd,Yasmin, Ph.D.",All,"21 Years to 65 Years   (Adult, Older Adult)",Phase 2,10,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",R21 DA027781(2),2012-05-01,2013-10-01,2013-10-01,2012-05-25,2016-11-28,2016-11-28,"Mount Sinai Medical Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT01605539
